what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1374571340068
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1374571340070
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1374571340071
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1374571340072
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1374571340073
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1374571340074
started,bundle,org.eclipse.ui.intro,3.4.100.v20110425,"org.eclipse.ui.intro",1374571340075
started,bundle,org.eclipse.ui.intro.universal,3.2.500.v20110510,"org.eclipse.ui.intro.universal",1374571340075
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1374571340076
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1374571340076
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1374571340077
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1374571340078
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1374571340078
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1374571340080
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1374571340080
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1374571340081
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1374571340082
started,bundle,org.eclipse.wst.common.emf,1.2.100.v201101101900,"org.eclipse.wst.common.emf",1374571340082
started,bundle,org.eclipse.wst.common.emfworkbench.integration,1.2.101.v201107140600,"org.eclipse.wst.common.emfworkbench.integration",1374571340083
started,bundle,org.eclipse.wst.common.frameworks,1.2.102.v201201190400,"org.eclipse.wst.common.frameworks",1374571340083
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.201.v201201101553,"org.eclipse.wst.common.project.facet.core",1374571340083
started,bundle,org.eclipse.wst.web,1.1.501.v201201190400,"org.eclipse.wst.web",1374571340084
started,bundle,com.google.gdt.eclipse.core,3.2.3.v201304260926-rel-r37,"com.google.gdt.eclipse.core",1374571340084
started,bundle,com.google.gdt.eclipse.login,3.2.3.v201304260926-rel-r37,"com.google.gdt.eclipse.login",1374571340085
started,bundle,com.google.gdt.eclipse.managedapis,3.2.3.v201304260926-rel-r37,"com.google.gdt.eclipse.managedapis",1374571340085
started,bundle,com.google.gdt.eclipse.suite.ext,3.2.3.v201304260926-rel-r37,"com.google.gdt.eclipse.suite.ext",1374571340085
started,bundle,org.eclipse.egit.core,2.3.1.201302201838-r,"org.eclipse.egit.core",1374571340086
started,bundle,org.eclipse.egit.ui,2.3.1.201302201838-r,"org.eclipse.egit.ui",1374571340088
started,bundle,org.eclipse.jgit,2.3.1.201302201838-r,"org.eclipse.jgit",1374571340088
started,bundle,eclipseme.core,1.7.9,"eclipseme.core",1374571340088
started,bundle,eclipseme.core.hooks,1.6.5,"eclipseme.core.hooks",1374571340089
started,bundle,eclipseme.ui,1.7.8,"eclipseme.ui",1374571340089
os,sysinfo,,,"win32",1374571340094
arch,sysinfo,,,"x86",1374571340094
ws,sysinfo,,,"win32",1374571340094
locale,sysinfo,,,"en_US",1374571340094
processors,sysinfo,,,"4",1374571340094
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1374571340094
java.runtime.version,sysinfo,,,"1.7.0_25-b17",1374571340094
java.specification.name,sysinfo,,,"Java Platform API Specification",1374571340094
java.specification.vendor,sysinfo,,,"Oracle Corporation",1374571340094
java.specification.version,sysinfo,,,"1.7",1374571340094
java.vendor,sysinfo,,,"Oracle Corporation",1374571340094
java.version,sysinfo,,,"1.7.0_25",1374571340094
java.vm.info,sysinfo,,,"mixed mode, sharing",1374571340094
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1374571340094
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1374571340094
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1374571340094
java.vm.specification.version,sysinfo,,,"1.7",1374571340094
java.vm.vendor,sysinfo,,,"Oracle Corporation",1374571340094
java.vm.version,sysinfo,,,"23.25-b01",1374571340094
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1374571340878
activated,view,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.ProjectExplorer",1374571340886
closed,view,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.internal.introview",1374571340915
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374571347651
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374571388699
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.import",1374571388716
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374571391417
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374572037409
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374572037447
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374572037512
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374572038846
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1374572038930
started,bundle,org.eclipse.compare.core,3.5.200.I20110208-0800,"org.eclipse.compare.core",1374572039187
started,bundle,org.eclipse.compare,3.5.202.R37x_v20111109-0800,"org.eclipse.compare",1374572039193
stopped,bundle,org.eclipse.jst.ws.axis.creation.ui,1.0.700.v201104070312,"org.eclipse.jst.ws.axis.creation.ui",1374572039638
stopped,bundle,org.eclipse.jst.ws.axis.consumption.ui,1.0.505.v201004211805,"org.eclipse.jst.ws.axis.consumption.ui",1374572039639
stopped,bundle,org.eclipse.jst.ws.axis.consumption.core,1.0.407.v201104071820,"org.eclipse.jst.ws.axis.consumption.core",1374572039640
stopped,bundle,org.eclipse.jst.ws.axis2.creation.ui,1.0.104.v201004211805,"org.eclipse.jst.ws.axis2.creation.ui",1374572039640
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.ui,1.0.103.v201004211805,"org.eclipse.jst.ws.axis2.consumption.ui",1374572039641
stopped,bundle,org.eclipse.jst.ws.axis2.creation.core,1.0.106.v201004211805,"org.eclipse.jst.ws.axis2.creation.core",1374572039642
stopped,bundle,org.eclipse.jst.ws.axis2.consumption.core,1.0.105.v201004211805,"org.eclipse.jst.ws.axis2.consumption.core",1374572039643
stopped,bundle,org.eclipse.jst.ws.axis2.ui,1.0.303.v201003110431,"org.eclipse.jst.ws.axis2.ui",1374572039643
stopped,bundle,org.eclipse.jst.ws.axis2.core,1.0.204.v201004211805,"org.eclipse.jst.ws.axis2.core",1374572039643
stopped,bundle,org.eclipse.jst.ws.cxf.creation.ui,1.0.100.v201104022153,"org.eclipse.jst.ws.cxf.creation.ui",1374572039644
stopped,bundle,org.eclipse.jst.ws.creation.ui,1.0.609.v201103082016,"org.eclipse.jst.ws.creation.ui",1374572039645
stopped,bundle,org.eclipse.jst.ws.cxf.consumption.ui,1.0.0.v201003222311,"org.eclipse.jst.ws.cxf.consumption.ui",1374572039647
